img_id,dataset
0592599_sc-131566.jpg,train
0393044_as-0082135.jpg,test
0002468_sc-1030689.jpg,train
0388648_as-0084493.jpg,train
0432791_sc-159271.jpg,train
0210463_as-2804948.jpg,train
0062822_as-0090415.jpg,train
0191640_as-0076807.jpg,train
0161550_as-2749850.jpg,train
0099502_as-0019613.jpg,train
0058048_as-0057550.jpg,train
0039717_as-0061619.jpg,train
0632019_as-0092562.jpg,train
0063726_sc-153086.jpg,train
0235270_sc-175184.jpg,train
0251164_as-0060132.jpg,train
0309735_as-0018275.jpg,train
0357579_as-2880339.jpg,train
0353747_sc-202632.jpg,train
0184379_sc-153593.jpg,train
0213422_as-0048399.jpg,train
0341944_as-3135377.jpg,train
0517372_as-0068191.jpg,train
0427704_as-0083103.jpg,val
0514680_as-3148199.jpg,train
0607033_as-3483225.jpg,train
0216110_as-0079021.jpg,train
0182759_sc-1017346.jpg,train
0023416_sc-149654.jpg,train
0411999_as-0040368.jpg,train
0315404_sc-148117.jpg,train
0113862_as-0027921.jpg,train
0336135_sc-125239.jpg,train
0224559_as-0085006.jpg,train
0610422_sc-1031267.jpg,test
0186399_as-0036255.jpg,val
0578507_as-0039039.jpg,test
0534202_as-0050005.jpg,train
0302158_as-0078731.jpg,train
0032364_as-0049634.jpg,val
0612402_as-0053602.jpg,train
0211992_sc-1024725.jpg,train
0219892_as-0082085.jpg,train
0567678_sc-130652.jpg,train
0578506_as-0039039.jpg,train
0269937_as-2848473.jpg,train
0294938_as-0042412.jpg,train
0020089_as-0020522.jpg,train
0546468_sc-229241.jpg,train
0156323_as-0027685.jpg,test
0434162_as-0076034.jpg,train
0145513_sc-1020222.jpg,train
0095941_sc-193699.jpg,val
0466747_as-0085150.jpg,train
0344548_as-0018530.jpg,train
0548792_as-2944565.jpg,train
0243647_as-0075239.jpg,train
0059671_as-0008417.jpg,train
0268317_as-0038667.jpg,train
0098470_as-0028661.jpg,test
0044988_sc-128160.jpg,train
0256674_as-0032945.jpg,train
0111493_sc-1010485.jpg,train
0285612_as-0071250.jpg,train
0106896_as-0008999.jpg,train
0367663_sc-147939.jpg,train
0529841_sc-195802.jpg,train
0342286_as-0028058.jpg,train
0048823_sc-1034558.jpg,val
0345533_sc-229095.jpg,train
0326446_as-0080542.jpg,val
0352944_sc-196870.jpg,val
0082913_as-0076563.jpg,train
0196181_sc-113121.jpg,train
0071232_as-0023110.jpg,train
0471023_sc-177225.jpg,test
0166238_as-0092215.jpg,train
0510521_sc-126167.jpg,train
0149795_as-0041320.jpg,train
0334998_as-0085508.jpg,val
0004857_as-0075680.jpg,test
0621613_sc-1036441.jpg,train
0331810_as-0027109.jpg,train
0488000_as-0085827.jpg,train
0204367_sc-172407.jpg,train
0119473_as-0042217.jpg,train
0535037_sc-106565.jpg,val
0345559_as-3309830.jpg,train
0006723_as-2853508.jpg,train
0455699_sc-173821.jpg,train
0589315_as-0069779.jpg,train
0326728_as-0085044.jpg,train
0166027_as-0034780.jpg,train
0021255_sc-220515.jpg,test
0343409_sc-105258.jpg,train
0560233_as-0032278.jpg,val
0392555_sc-197703.jpg,train
0217341_sc-198322.jpg,train
0090930_as-0020131.jpg,train
0240060_sc-163934.jpg,train
0356651_as-2900683.jpg,train
0281218_as-0015957.jpg,train
0460881_as-0043705.jpg,train
0113399_sc-190948.jpg,train
0419036_sc-1000863.jpg,train
0576510_as-0085602.jpg,test
0094438_sc-133898.jpg,train
0021458_as-0019569.jpg,train
0598942_sc-172311.jpg,train
0321534_sc-116412.jpg,train
0252161_sc-176652.jpg,val
0183779_as-0009549.jpg,train
0255538_as-0063245.jpg,train
0577642_as-3062609.jpg,train
0249260_sc-142401.jpg,train
0252458_sc-1017185.jpg,train
0247472_sc-179764.jpg,train
0519329_as-0006347.jpg,train
0166595_as-0087008.jpg,train
0413896_as-0009465.jpg,train
0126681_sc-112392.jpg,train
0598642_sc-105408.jpg,train
0271696_sc-1009339.jpg,val
0544417_as-0066472.jpg,train
0327186_sc-222456.jpg,train
0093042_as-0027983.jpg,test
0604675_as-0060792.jpg,train
0616329_as-0002909.jpg,train
0215347_as-3146801.jpg,train
0153600_sc-1007512.jpg,test
0213805_as-0032505.jpg,val
0597655_as-0057460.jpg,train
0550019_sc-140999.jpg,val
0373087_as-0036786.jpg,val
0316470_sc-114222.jpg,train
0268745_as-2997368.jpg,train
0046100_as-3310321.jpg,train
0255903_sc-120832.jpg,val
0326571_as-0048410.jpg,train
0162219_as-0009345.jpg,train
0395727_as-0060167.jpg,train
0521522_as-2747994.jpg,test
0478370_as-0037740.jpg,test
0476313_as-0050311.jpg,train
0205289_as-0082188.jpg,train
0411995_as-0039717.jpg,train
0559782_as-2635624.jpg,train
0087067_as-3304369.jpg,train
0381329_as-0055587.jpg,train
0619447_sc-226300.jpg,train
